Date,Close/Last,Volume,Open,High,Low
11/15/2024,$134.06,7281941,$133.37,$134.40,$132.54
11/14/2024,$132.43,7344210,$133.10,$134.91,$131.98
11/13/2024,$132.76,6134840,$133.46,$134.65,$132.465
11/12/2024,$132.31,5683256,$133.19,$133.82,$131.705
11/11/2024,$133.52,6861327,$130.55,$133.99,$130.55
11/08/2024,$129.53,6979341,$128.98,$130.52,$127.76
11/07/2024,$128.44,7780327,$130.74,$131.55,$128.08
11/06/2024,$131.49,22798670,$129.51,$133.52,$127.66
11/05/2024,$117.81,4798372,$116.09,$117.90,$116.09
11/04/2024,$116.14,4366558,$117.005,$117.45,$115.94
11/01/2024,$116.85,4372177,$116.67,$118.024,$116.30
10/31/2024,$116.25,5374550,$117.13,$117.91,$115.70
10/30/2024,$117.92,5672997,$118.61,$119.32,$117.79
10/29/2024,$119.30,4622285,$118.89,$120.09,$118.82
10/28/2024,$119.13,5994033,$118.12,$119.68,$117.51
10/25/2024,$116.88,7271677,$120.00,$120.00,$116.33
10/24/2024,$119.17,5611946,$118.40,$119.34,$117.94
10/23/2024,$118.28,5661570,$117.89,$118.74,$117.20
10/22/2024,$118.32,4429614,$117.65,$118.61,$117.25
10/21/2024,$118.28,7469088,$120.37,$120.69,$117.88
10/18/2024,$121.06,6852874,$119.53,$121.12,$119.11
10/17/2024,$119.44,9357154,$119.77,$120.355,$118.73
10/16/2024,$119.51,21458550,$116.88,$121.45,$116.50
10/15/2024,$112.22,8925197,$115.425,$116.06,$112.03
10/14/2024,$112.28,7179255,$111.05,$112.44,$110.55
10/11/2024,$110.46,5826183,$109.00,$111.475,$109.00
10/10/2024,$108.08,4065520,$108.44,$109.03,$107.65
10/09/2024,$109.04,4445976,$107.22,$109.365,$107.22
10/08/2024,$107.49,3679612,$107.65,$108.21,$107.39
10/07/2024,$107.64,4439928,$107.69,$108.92,$107.27
10/04/2024,$107.88,5609161,$107.612,$108.08,$106.62
10/03/2024,$104.57,4587217,$103.58,$104.70,$103.16
10/02/2024,$104.52,3293681,$104.83,$105.395,$103.91
10/01/2024,$104.42,5437427,$104.18,$105.19,$103.06
09/30/2024,$104.24,3378660,$103.74,$104.40,$103.12
09/27/2024,$104.11,3113293,$104.93,$105.14,$104.015
09/26/2024,$104.60,5183019,$103.07,$104.79,$102.97
09/25/2024,$102.34,3825147,$102.75,$102.805,$101.7201
09/24/2024,$102.58,4749752,$102.77,$102.88,$101.95
09/23/2024,$102.47,3962451,$101.69,$102.53,$101.3071
09/20/2024,$102.47,14513380,$100.87,$102.53,$100.19
09/19/2024,$100.73,9091873,$101.22,$101.43,$99.52
09/18/2024,$99.30,5195894,$100.12,$101.01,$99.24
09/17/2024,$99.84,4748588,$100.68,$100.82,$99.44
09/16/2024,$100.09,4467201,$99.145,$100.19,$98.76
09/13/2024,$98.25,5354881,$96.87,$98.74,$96.85
09/12/2024,$96.64,4752899,$97.37,$97.69,$95.68
09/11/2024,$97.03,6764081,$95.49,$97.14,$94.09
09/10/2024,$96.62,7798604,$98.40,$98.43,$94.89
09/09/2024,$98.18,5281476,$97.755,$99.02,$97.595
09/06/2024,$96.59,9246905,$99.70,$100.80,$96.14
09/05/2024,$99.56,4462452,$101.00,$101.30,$99.12
09/04/2024,$100.15,4212707,$99.74,$101.32,$99.675
09/03/2024,$99.27,6634120,$102.85,$103.255,$98.46
08/30/2024,$103.61,4951396,$102.905,$103.81,$102.10
08/29/2024,$102.60,3325667,$102.92,$102.92,$101.282
08/28/2024,$102.20,2836756,$101.89,$102.70,$101.42
08/27/2024,$102.08,2537170,$102.46,$102.852,$102.04
08/26/2024,$102.33,2678963,$103.04,$103.05,$101.98
08/23/2024,$101.89,3814813,$100.94,$102.58,$100.82
08/22/2024,$100.56,2777316,$100.755,$100.98,$99.90
08/21/2024,$100.69,3576018,$101.10,$101.23,$99.96
08/20/2024,$100.78,3396882,$101.25,$101.63,$100.60
08/19/2024,$101.75,4070505,$101.52,$102.04,$101.30
08/16/2024,$101.44,4159725,$100.63,$101.50,$100.46
08/15/2024,$100.64,5885080,$100.80,$101.205,$100.15
08/14/2024,$99.44,10161750,$97.76,$100.59,$97.51
08/13/2024,$96.71,5941612,$95.77,$96.795,$94.95
08/12/2024,$94.84,4196403,$94.90,$95.22,$93.54
08/09/2024,$94.72,3542800,$94.29,$95.12,$94.02
08/08/2024,$94.63,6592349,$93.49,$95.04,$92.775
08/07/2024,$92.11,7215738,$94.61,$95.33,$92.01
08/06/2024,$92.97,6068264,$92.20,$93.84,$91.52
08/05/2024,$92.07,9659510,$92.65,$93.37,$90.94
08/02/2024,$95.85,11120670,$99.00,$99.02,$95.04
08/01/2024,$101.76,5678126,$103.745,$103.9899,$101.19
07/31/2024,$103.21,5444595,$103.08,$104.32,$102.25
07/30/2024,$103.76,6225723,$103.56,$104.12,$102.78
07/29/2024,$102.48,5183399,$104.47,$104.57,$102.33
07/26/2024,$104.19,6599639,$104.86,$105.89,$104.035
07/25/2024,$103.56,5582494,$102.08,$104.185,$101.85
07/24/2024,$101.97,7967609,$102.86,$104.00,$101.745
07/23/2024,$103.50,7400632,$102.45,$104.1699,$102.18
07/22/2024,$102.44,8931224,$102.47,$103.225,$101.95
07/19/2024,$102.09,12555900,$104.71,$104.715,$101.73
07/18/2024,$104.81,9130735,$106.53,$107.63,$104.33
07/17/2024,$106.96,11411980,$105.09,$107.71,$104.53
07/16/2024,$106.22,16716420,$104.13,$109.11,$102.81
07/15/2024,$105.26,10093880,$103.94,$106.53,$103.24
07/12/2024,$104.09,7060573,$105.00,$105.82,$103.97
07/11/2024,$104.64,7766147,$104.25,$105.29,$103.94
07/10/2024,$103.46,5618976,$102.51,$103.51,$102.06
07/09/2024,$102.61,7114091,$100.60,$102.895,$99.98
07/08/2024,$100.59,3884437,$99.83,$101.27,$99.83
07/05/2024,$99.59,3633345,$100.10,$100.106,$98.91
07/03/2024,$100.20,3111960,$99.925,$100.60,$99.50
07/02/2024,$99.65,5571071,$98.97,$99.795,$98.62
07/01/2024,$99.16,7420618,$97.52,$99.38,$97.44
06/28/2024,$97.19,9058849,$96.74,$97.32,$96.16
06/27/2024,$95.77,5437808,$96.08,$96.34,$95.17
06/26/2024,$96.89,6514227,$97.38,$97.68,$96.08
06/25/2024,$97.80,7468726,$96.79,$98.34,$96.68
06/24/2024,$97.10,8418206,$96.73,$97.66,$96.1816
06/21/2024,$96.16,10983280,$97.32,$97.36,$95.89
06/20/2024,$97.44,3956843,$97.64,$98.03,$97.11
06/18/2024,$97.57,4558350,$97.02,$97.6899,$96.81
06/17/2024,$97.04,4874345,$95.01,$97.19,$94.68
06/14/2024,$95.50,3406646,$94.39,$95.52,$93.99
06/13/2024,$95.21,3955894,$95.50,$95.55,$94.61
06/12/2024,$95.65,5435711,$97.32,$97.89,$95.60
06/11/2024,$95.43,5329972,$96.46,$96.46,$94.725
06/10/2024,$96.39,4566071,$96.62,$96.83,$95.41
06/07/2024,$97.14,4018360,$96.12,$97.68,$95.93
06/06/2024,$96.85,4741248,$96.48,$97.45,$96.255
06/05/2024,$96.66,4499655,$96.84,$97.605,$96.50
06/04/2024,$96.58,5409640,$96.25,$97.55,$95.67
06/03/2024,$97.41,5671162,$98.16,$98.16,$96.53
05/31/2024,$97.84,7155514,$97.33,$97.96,$96.40
05/30/2024,$97.23,4548842,$97.69,$97.81,$96.59
05/29/2024,$97.27,4679722,$97.37,$97.70,$96.47
05/28/2024,$98.67,5542020,$98.43,$99.46,$98.40
05/24/2024,$98.97,3550530,$99.45,$99.91,$98.81
05/23/2024,$98.92,5594499,$100.38,$100.56,$98.48
05/22/2024,$100.74,5194285,$101.28,$102.52,$100.17
05/21/2024,$101.53,8337061,$100.31,$103.25,$100.15
05/20/2024,$100.33,5690176,$100.05,$100.89,$99.38
05/17/2024,$100.22,4690752,$99.90,$100.30,$99.30
05/16/2024,$99.58,4339280,$100.15,$100.41,$99.4507
05/15/2024,$100.52,6938530,$100.04,$100.98,$99.99
05/14/2024,$99.38,6216566,$99.00,$100.1799,$98.77
05/13/2024,$98.56,5379209,$98.75,$98.97,$98.42
05/10/2024,$98.28,6118425,$98.74,$98.99,$97.625
05/09/2024,$98.11,6766675,$95.59,$98.26,$95.59
05/08/2024,$95.64,4662709,$95.43,$96.05,$95.10
05/07/2024,$95.79,7417962,$94.915,$95.93,$94.71
05/06/2024,$94.79,5105096,$94.56,$94.91,$93.70
05/03/2024,$93.64,5043459,$93.34,$94.42,$93.28
05/02/2024,$92.65,4449194,$92.54,$92.92,$91.60
05/01/2024,$91.54,4714871,$91.28,$92.48,$90.73
04/30/2024,$90.84,5859963,$91.60,$91.83,$90.55
04/29/2024,$92.11,4420459,$91.33,$92.81,$91.33
04/26/2024,$92.83,4606109,$92.50,$93.31,$92.40
04/25/2024,$92.56,6770646,$93.00,$93.65,$91.65
04/24/2024,$93.85,5100898,$93.11,$94.07,$93.03
04/23/2024,$93.76,6393943,$92.16,$94.05,$92.16
04/22/2024,$92.09,7294357,$91.11,$92.66,$90.705
04/19/2024,$90.66,8143003,$90.36,$91.62,$90.36
04/18/2024,$90.26,6751978,$90.66,$91.11,$89.74
04/17/2024,$90.08,9544640,$90.13,$91.44,$89.67
04/16/2024,$89.14,18291600,$90.71,$91.10,$88.00
04/15/2024,$86.99,9553914,$87.80,$89.13,$85.49
04/12/2024,$86.19,12789790,$85.80,$86.81,$85.12
04/11/2024,$86.84,24631770,$91.72,$91.80,$85.01
04/10/2024,$91.65,5994209,$92.27,$92.89,$91.18
04/09/2024,$94.08,4952411,$93.61,$94.14,$92.83
04/08/2024,$93.21,4601943,$93.00,$93.40,$92.20
04/05/2024,$92.47,4654937,$92.25,$93.29,$91.61
04/04/2024,$92.28,5466099,$94.20,$94.735,$91.86
04/03/2024,$93.00,4821141,$92.95,$94.30,$92.75
04/02/2024,$92.71,5245570,$92.90,$93.77,$92.5401
04/01/2024,$93.53,3416048,$94.16,$94.44,$93.17
03/28/2024,$94.16,6707703,$93.75,$94.73,$93.45
03/27/2024,$93.50,6394493,$92.03,$93.54,$91.91
03/26/2024,$91.28,4212047,$91.42,$91.91,$90.935
03/25/2024,$91.14,3670642,$91.77,$92.5499,$90.985
03/22/2024,$91.95,5909255,$93.52,$93.86,$91.74
03/21/2024,$93.40,13659940,$91.96,$94.36,$91.955
03/20/2024,$91.35,10811720,$88.05,$91.482,$87.9107
03/19/2024,$88.42,8546529,$88.00,$89.09,$87.86
03/18/2024,$87.96,5959969,$88.36,$88.70,$87.70
03/15/2024,$88.38,20363040,$88.48,$89.3461,$88.17
03/14/2024,$89.10,9235361,$89.00,$89.40,$88.26
03/13/2024,$89.35,10345770,$87.45,$90.24,$87.25
03/12/2024,$87.05,5110923,$87.24,$87.7589,$86.60
03/11/2024,$86.94,4737231,$86.82,$87.25,$85.84
03/08/2024,$87.04,9689299,$86.62,$88.32,$86.42
03/07/2024,$86.14,9145693,$86.08,$87.12,$85.64
03/06/2024,$85.66,25614610,$86.77,$87.95,$84.426
03/05/2024,$89.13,13883600,$89.19,$91.14,$88.62
03/04/2024,$90.04,19875990,$87.88,$91.235,$87.55
03/01/2024,$86.48,5523731,$86.22,$86.79,$85.11
02/29/2024,$86.04,7657147,$86.49,$86.64,$85.35
02/28/2024,$86.05,5617729,$85.43,$86.09,$85.2801
02/27/2024,$85.49,8066655,$85.97,$86.45,$85.12
02/26/2024,$85.67,5608055,$86.50,$87.3366,$85.5601
02/23/2024,$86.55,5810069,$86.07,$87.25,$85.96
02/22/2024,$85.85,6782109,$85.95,$86.735,$85.60
02/21/2024,$85.46,6444877,$85.01,$85.48,$84.53
02/20/2024,$85.35,6626357,$85.94,$86.49,$85.10
02/16/2024,$86.50,9673918,$85.52,$86.79,$85.07
02/15/2024,$85.67,7993508,$84.45,$86.23,$84.41
02/14/2024,$84.00,5973690,$84.54,$84.96,$83.692
02/13/2024,$83.97,11339360,$85.86,$85.86,$83.09
02/12/2024,$86.87,7888017,$85.855,$87.64,$85.64
02/09/2024,$85.89,5664540,$85.685,$86.03,$85.32
02/08/2024,$85.65,6218415,$85.68,$86.23,$85.16
02/07/2024,$86.00,4952226,$86.26,$86.39,$85.27
02/06/2024,$86.10,7335535,$85.62,$86.55,$85.62
02/05/2024,$85.89,7788657,$86.58,$86.58,$85.09
02/02/2024,$87.27,7728782,$86.47,$87.67,$86.00
02/01/2024,$86.82,8365019,$87.19,$88.17,$85.64
01/31/2024,$87.24,8414853,$87.71,$88.745,$87.23
01/30/2024,$87.62,6569320,$86.98,$88.07,$86.77
01/29/2024,$87.62,7440287,$87.395,$87.95,$85.72
01/26/2024,$87.73,6384351,$87.88,$88.50,$87.65
01/25/2024,$88.02,8792414,$88.14,$88.42,$87.325
01/24/2024,$87.57,12480930,$87.32,$88.30,$87.20
01/23/2024,$86.74,8555665,$85.67,$86.85,$85.19
01/22/2024,$85.73,11626530,$85.46,$86.77,$85.44
01/19/2024,$85.34,14787430,$83.91,$85.589,$83.20
01/18/2024,$83.90,15016390,$84.83,$84.98,$83.28
01/17/2024,$84.41,17198500,$84.85,$85.14,$83.90
01/16/2024,$85.97,20369040,$86.74,$88.16,$84.80
01/12/2024,$89.70,8303137,$91.28,$91.895,$89.43
01/11/2024,$90.51,9400748,$90.95,$90.95,$89.54
01/10/2024,$91.48,6929232,$91.53,$91.97,$91.285
01/09/2024,$92.06,7594054,$92.75,$92.835,$91.66
01/08/2024,$93.51,6738378,$93.21,$93.83,$92.28
01/05/2024,$93.24,6027839,$92.21,$93.93,$92.055
01/04/2024,$92.15,8735828,$92.15,$93.135,$91.66
01/03/2024,$91.91,7487897,$93.20,$93.20,$91.27
01/02/2024,$93.90,6132168,$92.66,$94.15,$92.27
12/29/2023,$93.25,4772283,$93.49,$93.77,$93.06
12/28/2023,$93.64,4089529,$93.31,$93.9501,$93.24
12/27/2023,$93.66,4073222,$92.69,$93.69,$92.4004
12/26/2023,$92.84,2726286,$92.61,$93.02,$92.37
12/22/2023,$92.41,5800929,$92.90,$93.66,$92.2324
12/21/2023,$92.63,7748018,$92.135,$92.66,$91.64
12/20/2023,$91.14,10466980,$91.455,$92.31,$90.93
12/19/2023,$91.92,8114867,$90.915,$92.36,$90.70
12/18/2023,$90.76,9145477,$91.66,$91.6725,$90.61
12/15/2023,$91.58,16905690,$91.00,$91.84,$90.26
12/14/2023,$91.04,19849530,$87.23,$92.00,$87.21
12/13/2023,$85.63,10144560,$83.47,$86.1109,$83.30
12/12/2023,$83.60,7395338,$82.94,$83.66,$82.565
12/11/2023,$82.82,6378077,$82.37,$82.835,$81.96
12/08/2023,$82.28,10343400,$80.28,$82.655,$80.15
12/07/2023,$80.35,5430566,$79.76,$80.565,$79.62
